Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Product Category,Add Ons,,,,,
,,,,,,
,,,,Values,,
Product Of (Primary Service),Primary Service Category,Internal Product Name,Internal Notes for Sales,One Time Fees,Annual Fees,Transaction Fees
,,AccountChek VOA - Direct Relationship One Time,"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,,1.03
,,AccountChek VOA - Monthly Fee (Monthly Fee Option),"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,1236,
,,AccountChek VOA - One Time (Monthly Fee Option),"Pick all products from either Monthly Minimum, Monthly Fee, or Direct Relationship.

Monthly Fee / Monthly Minimum is upon first successful
AccountChek order.

No charge from ML for Day 1 Certainty as it's provided by the
vendor.",0,1236,8.25
,,"Experian Finicity Order Retrieval API Tier 1 (20,000+ Pulls)","(non-aggregate bundled with manual VOE)
<= 5,000: $1.03
5,001 - 10,000: $0.98
10,001 - 15,000: $0.93
15,001 - 20,000: $0.88
> 20,000: $0.82

Pulls in Experian/Finicity records ordered outside of the MCL system for unified billing inside of MCL.",0,,0.82
,,"Experian Finicity Order Retrieval API Tier 2 (15,000 - 19,999 Pulls)",(blank),0,,0.88
,,"Experian Finicity Order Retrieval API Tier 3 (10,000 - 14,999 Pulls)",(blank),0,,0.93
,,Experian Finicity Order Retrieval API Tier 4 (5000 - 9999 Pulls),(blank),0,,0.98
,,Experian Finicity Order Retrieval API Tier 5 (Up to 4999 Pulls),(blank),0,,1.03
,,"Finicity Reseller Billing API Tier 1 (20,000+ Pulls)","(non-aggregate bundled with manual VOE)
<= 5,000: $1.03
5,001 - 10,000: $0.98
10,001 - 15,000: $0.93
15,001 - 20,000: $0.88
> 20,000: $0.82

Pulls in Experian/Finicity records ordered outside of the MCL system for unified billing inside of MCL.",0,,0.82
,,"Finicity Reseller Billing API Tier 2 (15,000 - 19,999 Pulls)",(blank),0,,0.88
,,"Finicity Reseller Billing API Tier 3 (10,000 - 14,999 Pulls)",(blank),0,,0.93
,,Finicity Reseller Billing API Tier 4 (5000 - 9999 Pulls),(blank),0,,0.98
,,Finicity Reseller Billing API Tier 5 (Up to 4999 Pulls),(blank),0,,1.03
,,Finicity VOIE,(blank),0,,
,,Manual VOD,Service Request in MCL. Billed upon completion.,0,,1.03
,,Manual VOE (MeridianLink),"(non-aggregate
bundled with
manual VOE)
<= 5,000: $1.03
5,001 - 10,000:
$0.98
10,001 - 15,000:
$0.93
15,001 - 20,000:
$0.88
> 20,000: $0.82

Only billed for completed orders.
Only billed for completed orders.",0,,1.03
,,Manual VOE (NCS),"(non-aggregate
bundled with
manual VOE)
<= 5,000: $1.03
5,001 - 10,000:
$0.98
10,001 - 15,000:
$0.93
15,001 - 20,000:
$0.88
> 20,000: $0.82

Only billed for completed orders.
Only billed for completed orders.",0,,1.03
,,Tax Transcript 3rd Party (CRA),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
,,Tax Transcript 3rd Party (Inco-Check),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
,,Tax Transcript 3rd Party (NCS),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
,,Tax Transcript 3rd Party (TaxReturnVerifications.com),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
,,Tax Transcript 3rd Party (Veri-Tax),"Supports 1040, W2, 1099, 1120, and 1065. Also applies to CRAs who have their own software.",0,,0.52
,,Tax Transcript MCL,"Supports 1040, W2, 1099, 1120, and 1065",0,,0.78
,,"Verification of Employment (MCL), including Experian Verify connectivity Tier 1 (20,000+ Pulls)","(non-aggregate
bundled with
manual VOE)
<= 5,000: $1.03
5,001 - 10,000:
$0.98
10,001 - 15,000:
$0.93
15,001 - 20,000:
$0.88
> 20,000: $0.82

Includes instant and manual volumes. Only billed for completed
orders.",0,,0.82
,,"Verification of Employment (MCL), including Experian Verify connectivity Tier 2 (15,000 - 19,999 Pulls)",(blank),0,,0.88
,,"Verification of Employment (MCL), including Experian Verify connectivity Tier 3 (10,000 - 14,999 Pulls)",(blank),0,,0.93
,,"Verification of Employment (MCL), including Experian Verify connectivity Tier 4 (5000 - 9999 Pulls)",(blank),0,,0.98
,,"Verification of Employment (MCL), including Experian Verify connectivity Tier 5 (up to 4999 Pulls)",(blank),0,,1.03
,Add On - Fraud Detection,Blend Identity Verification,(blank),0,,0.52
,,Blue Sage Identity Verification,(blank),0,,0.5
,,CBSV Tier 1 (1000+ Verifications),"(non-aggregate)
<= 500: $1.03
501 - 1000: $0.77
> 1000: $0.52",4700,,0.52
,,CBSV Tier 2 (500 - 999 Verifications),(blank),4700,,0.78
,,CBSV Tier 3 (Up to 499 Verifications),(blank),4700,,1.03
,,ID Verification (Credit Reports Not with MeridianLink),(blank),0,,1.03
,,ID Verification (Credit Reports with MeridianLink),(blank),0,,0.26
,,MERS Report Refresh,"Per report (i.e. borrower, co-borrower, and property address are
separate MERS reports even if on the same file)
Can be ordered on Prequal, Refresh, Standalone, and in
Packaged Reports",0,,0.11
,,MERS Report Regular,"Per report (i.e. borrower, co-borrower, and property address are
separate MERS reports even if on the same file)
Can be ordered on Prequal, Refresh, Standalone, and in
Packaged Reports",0,,0.11
,,Mortgage Participant Verification Tier 1 (1000+ Delinquencies),"(aggregate)
< 1000: $0.07
>= 1000: $0.06",0,,0.06
,,Mortgage Participant Verification Tier 2 (up to 999 Delinquencies),(blank),0,,0.08
,,Packaged Report - Accurint,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,Packaged Report - ASC National Registry,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,Packaged Report - CoreLogic Home Value Explorer (HVE),"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,Packaged Report - Equifax Intellireal IPR,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.31
,,Packaged Report - Equifax Intellireal Other,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,Packaged Report - FEMA Disaster List,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,Packaged Report - Freddie Mac,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,Packaged Report - LexisNexis Bridger,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.26
,,Packaged Report - LexisNexis InstantID,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.26
,,Packaged Report - LexisNexis NOD/Foreclosure Search,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.16
,,Packaged Report - LexisNexis Property History Search,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.16
,,Packaged Report - MERS People,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,Packaged Report - MERS Property,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,Packaged Report - Other,"If sum of charges per report don't hit the minimum, we bill that
instead",0,,0.11
,,PitchPoint,(blank),0,,1.03
,,SSA89 Tier 1 (1000+ Reports),"(non-aggregate)
<= 500: $1.03
501 - 1000: $0.77
> 1000: $0.52",0,,0.52
,,SSA89 Tier 2 (500 - 999 Reports),(blank),0,,0.78
,,SSA89 Tier 3 (Up to 499 Reports),(blank),0,,1.03
,,ARMCO - SSA89,(blank),0,,0.8
,Add On - Interface,ARMCO - Consumer Credit Reports - 1B,Billing is for new transactions only,0,,1.1
,,ARMCO - Consumer Credit Reports - 2B,Billing is for new transactions only,0,,1.4
,,ARMCO - Consumer Credit Reports - 3B,Billing is for new transactions only,0,,1.7
,,ARMCO - Tax Transcript,Billing is for new transactions only,0,,0.8
,,ARMCO - VOE,Billing is for new transactions only,0,,0.8
,,Avista - Consumer Credit Reports - 1B,"Both new and reissue transactions
(MCL-181)",0,,0.45
,,Avista - Consumer Credit Reports - 2B,"Both new and reissue transactions
(MCL-181)",0,,0.7
,,Avista - Consumer Credit Reports - 3B,"Both new and reissue transactions
(MCL-181)",0,,0.95
,,Beanstalk OpenClose - Consumer Credit Reports - 1B,(blank),0,,0.25
,,Beanstalk OpenClose - Consumer Credit Reports - 2B,(blank),0,,0.5
,,Beanstalk OpenClose - Consumer Credit Reports - 3B,(blank),0,,0.75
,,Blend - Consumer Credit Reports - 1B,Billing includes new transactions only,0,,0.5
,,Blend - Consumer Credit Reports - 2B,Billing includes new transactions only,0,,0.5
,,Blend - Consumer Credit Reports - 3B,Billing includes new transactions only,0,,0.5
,,Blend - Consumer Credit Reports - Upgrade,Billing includes new transactions only,0,,0.5
,,Blue Sage - 4506-T,Billing is for new transactions only,0,,0.5
,,Blue Sage - Consumer Credit Reports,Billing is for new transactions only,0,,0.5
,,Blue Sage - UDN,Billing is for new transactions only,0,,0.5
,,BytePro - Consumer Credit Reports,"Byte wants agreements with each CRA
separately",0,,
