Date,Changed By,Change,Jira Ticket
2024-01-02,Kara Soghigian,After Hours Assistance (Consumer) setup fee changed to $535,
2024-01-02,Kara Soghigian,API Web Services (Consumer) setup fee changed to $660,
2024-01-02,Kara Soghigian,Auto Financial Group (AFG) setup fee changed to $2775,
2024-01-02,Kara Soghigian,Automail setup fee changed to $1345,
2024-01-02,Kara Soghigian,Certification Program (Consumer) setup fee changed to $605,
2024-01-02,Kara Soghigian,Certification Retake Exam - Multiple-Choice (Consumer) setup fee changed to $125,
2024-01-02,Kara Soghigian,Certification Retake Exam - Practical (Consumer) setup fee changed to $245,
2024-01-02,Kara Soghigian,Certification Training Bundle  (Consumer) setup fee changed to $1210,
2024-01-02,Kara Soghigian,Data Extraction Tool setup fee changed to $5545,
2024-01-02,Kara Soghigian,Disaster Recovery Testing (Consumer) setup fee changed to $800,
2024-01-02,Kara Soghigian,Eltropy setup fee changed to $2675,
2024-01-02,Kara Soghigian,IT Unscheduled Change Request (Consumer) setup fee changed to $800,
2024-01-02,Kara Soghigian,Re-deployment setup fee changed to $6930,
2024-01-02,Kara Soghigian,Retrain: Administration Setup with SDC setup fee changed to $4860,
2024-01-02,Kara Soghigian,Retrain: End User Workflow - Onsite Training (Consumer) setup fee changed to $2775,
2024-01-02,Kara Soghigian,Retrain: End User Workflow - Remote (Consumer) setup fee changed to $2085,
2024-01-02,Kara Soghigian,Time & Materials (Consumer) setup fee changed to $340,
2024-01-02,Kara Soghigian,Web Server Migration setup fee changed to $6675,
2024-01-02,Kara Soghigian,Yellow Hammer setup fee changed to $3025,
2024-01-02,Kara Soghigian,Modern Experience Module (existing customer) setup fee changed to $1210,
2024-01-02,Kara Soghigian,ACH Processing (Magic Wrighter) setup fee changed to $3025,
2024-01-02,Kara Soghigian,Credit Card Processing (Authorize.net) setup fee changed to $3025,
2024-01-02,Kara Soghigian,Credit Card Processing (First Data) setup fee changed to $3025,
2024-01-02,Kara Soghigian, United One Resources setup fee changed to $2775,
2024-01-02,Kara Soghigian,Accurate Group-  Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,Corporate Settlement Solutions- Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,Coviance  Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,First American- Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,First Close - Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,LendOne Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,MTS Group Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,New Vista - Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,Select Business Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,SourcePoint - Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,Universal Real Estate Services - Settlement Services setup fee changed to $2775,
2024-01-02,Kara Soghigian,ClickSWITCH (existing CS client) setup fee changed to $6930,
2024-01-02,Kara Soghigian,ClickSWITCH (new CS client) setup fee changed to $10390,
2024-01-02,Kara Soghigian,AutoCheck setup fee changed to $1390,
2024-01-02,Kara Soghigian,AutoCheck with Buyback Protection setup fee changed to $1390,
2024-01-02,Kara Soghigian,Carfax Vehicle History and/or Vehicle Loss Report setup fee changed to $1390,
2024-01-02,Kara Soghigian,American Service Group (ASG) setup fee changed to $2775,
2024-01-02,Kara Soghigian,Auto Exam  setup fee changed to $2775,
2024-01-02,Kara Soghigian,Car Solutions Auto Insurance Integration setup fee changed to $2775,
2024-01-02,Kara Soghigian,First Innovations setup fee changed to $2775,
2024-01-02,Kara Soghigian,TransUnion TruValidate Full Bundle (IDV and IDA) setup fee changed to $5445,
2024-01-02,Kara Soghigian,TransUnion TruValidate Verification Only (IDV)- without Full Bundle setup fee changed to $5445,
2024-01-02,Kara Soghigian,CUNA annual fee changed to $16050,
2024-01-02,Kara Soghigian,FourStars annual fee changed to $1845,
2024-01-02,Kara Soghigian,Lumin Digital Banking Service API annual fee changed to $2455,
2024-01-02,Kara Soghigian,Mercury Insurance annual fee changed to $2030,
2024-01-02,Kara Soghigian,CUNA DLX annual fee changed to $16050,
2024-01-02,Kara Soghigian,Address Verification Tier 1: 8K+ Apps annual fee changed to $20215,
2024-01-02,Kara Soghigian,Address Verification Tier 2: 4K - 7.99K Apps annual fee changed to $16170,
2024-01-02,Kara Soghigian,Address Verification Tier 3: 2K - 3.99K Apps annual fee changed to $12125,
2024-01-02,Kara Soghigian,Address Verification Tier 4: 1K - 1.99K Apps annual fee changed to $8090,
2024-01-02,Kara Soghigian,Address Verification Tier 5: 500 - 999 Apps annual fee changed to $4045,
2024-01-02,Kara Soghigian,Address Verification Tier 6: 0 - 499 Apps annual fee changed to $1355,
2024-01-02,Kara Soghigian,Co-op annual fee changed to $1350,
2024-01-02,Kara Soghigian,LSI annual fee changed to $1350,
2024-01-02,Kara Soghigian,PSCU (Call Center) annual fee changed to $1350,
2024-01-02,Kara Soghigian,Bankway (Metavante) (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,CUBase (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Cunify (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,CUProdigy (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,DataSafe (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,DNA (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Episys (Core) (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,ESP (Forza) (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Fiserv Data Center Direct Connection (Consumer) annual fee changed to $6745,
2024-01-02,Kara Soghigian,Fiserv DNA Credit Push (Consumer) annual fee changed to $1350,
2024-01-02,Kara Soghigian,Fiserv Premier (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Flex (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Galaxy (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Horizon (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,IBS (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,iPower (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Jack Henry 20/20 (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Jack Henry CoreDirector (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Jack Henry Silverlake (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,KeyStone (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Miser (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,ML Entry Core Integration (Consumer) annual fee changed to $3250,
2024-01-02,Kara Soghigian,New Core Integration (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,NewSolutions (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Phoenix EFE (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Portico (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,Spectrum (Summit) (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,UltraData OpenPath (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,XP System (XP2) (Consumer) annual fee changed to $8830,
2024-01-02,Kara Soghigian,CCM Credit Card annual fee changed to $2030,
2024-01-02,Kara Soghigian,CCM Interface with OSI annual fee changed to $2030,
2024-01-02,Kara Soghigian,CPS annual fee changed to $2030,
2024-01-02,Kara Soghigian,FDR Vantiv annual fee changed to $2030,
2024-01-02,Kara Soghigian,Originate Loans annual fee changed to $2030,
2024-01-02,Kara Soghigian,PSCU (Credit Card) annual fee changed to $2030,
2024-01-02,Kara Soghigian,RTDX / Base2000 annual fee changed to $2030,
2024-01-02,Kara Soghigian,TMG annual fee changed to $2030,
2024-01-02,Kara Soghigian,TSYS ADM annual fee changed to $2030,
2024-01-02,Kara Soghigian,VantivFI annual fee changed to $2030,
2024-01-02,Kara Soghigian,Visa Advanced ID Solutions (VAIS) annual fee changed to $2030,
2024-01-02,Kara Soghigian,Experian PowerCurve annual fee changed to $5885,
2024-01-02,Kara Soghigian,Fast Start annual fee changed to $1350,
2024-01-02,Kara Soghigian,Liquid Credit Integration annual fee changed to $2030,
2024-01-02,Kara Soghigian,Scienaptic annual fee changed to $5885,
2024-01-02,Kara Soghigian,Imaging (DocDownload) annual fee changed to $4725,
2024-01-02,Kara Soghigian,D+H DepositPro annual fee changed to $1350,
2024-01-02,Kara Soghigian,D+H DepositPro Plus annual fee changed to $1350,
2024-01-02,Kara Soghigian,D+H LaserPro (ML Consumer) annual fee changed to $1350,
2024-01-02,Kara Soghigian,D+H LaserPro Plus (ML Consumer) annual fee changed to $1350,
2024-01-02,Kara Soghigian,Document Maintenance (additional environment) annual fee changed to $4045,
2024-01-02,Kara Soghigian,Document Mapping (deposits) annual fee changed to $4385,
2024-01-02,Kara Soghigian,Document Mapping (loans) annual fee changed to $4385,
2024-01-02,Kara Soghigian,Document Mapping (overage) - custom annual fee changed to $275,
2024-01-02,Kara Soghigian,Document Mapping (overage) - MeridianLink Consumer annual fee changed to $275,
2024-01-02,Kara Soghigian,Document Mapping (overage) - MeridianLink Opening annual fee changed to $275,
2024-01-02,Kara Soghigian,IMM XML (TotaleAtlas) annual fee changed to $2030,
2024-01-02,Kara Soghigian,MeasureOne Bank Deposit Verification annual fee changed to $1070,
2024-01-02,Kara Soghigian,"MeasureOne Education Tier 1 (500,000+ monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Education Tier 2 (250,000 - 499,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Education Tier 3 (100,000 - 249,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Education Tier 4 (50,000 - 99,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Education Tier 5 (25,000 - 49,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Education Tier 6 (10,000 - 24,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Education Tier 7 (5,000 - 9,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Education Tier 8 (0 - 4,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Income & Employment Tier 1 (500,000+ monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Income & Employment Tier 2 (250,000 - 499,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Income & Employment Tier 3 (100,000 - 249,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Income & Employment Tier 4 (50,000 - 99,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Income & Employment Tier 5 (25,000 - 49,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Income & Employment Tier 6 (10,000 - 24,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Income & Employment Tier 7 (5,000 - 9,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,"MeasureOne Income & Employment Tier 8 (0 - 4,999 monthly orders) annual fee changed to $1070",
2024-01-02,Kara Soghigian,DocuSign ISV Tier 2 (400-499 envelopes included) (Consumer) annual fee changed to $18620,
2024-01-02,Kara Soghigian,DocuSign ISV Tier 3 (300-399 envelopes included) (Consumer) annual fee changed to $11560,
2024-01-02,Kara Soghigian,DocuSign ISV Tier 4 (200-299 envelopes included) (Consumer) annual fee changed to $8350,
2024-01-02,Kara Soghigian,DocuSign ISV Tier 5 (100-200 envelopes included) (Consumer) annual fee changed to $6745,
2024-01-02,Kara Soghigian,DocuSign ISV Tier 6 (50-99 envelopes included) (Consumer) annual fee changed to $4815,
2024-01-02,Kara Soghigian,DocuSign ISV Tier 7 (up to 49 envelopes included) (Consumer) annual fee changed to $2570,
2024-01-02,Kara Soghigian,Ready-To-Sign (RTS) annual fee changed to $2030,
2024-01-02,Kara Soghigian,Synergy Esign annual fee changed to $2030,
2024-01-02,Kara Soghigian,Socure ID & Doc Verification Tier 1 ($5B+ AUM) annual fee changed to $7490,
2024-01-02,Kara Soghigian,Socure ID & Doc Verification Tier 2 (<$5B AUM) annual fee changed to $3745,
2024-01-02,Kara Soghigian,Alkami QuickApply annual fee changed to $2030,
2024-01-02,Kara Soghigian,Mobile App Push annual fee changed to $2670,
2024-01-02,Kara Soghigian,eFunds IDV & IDA annual fee changed to $2030,
2024-01-02,Kara Soghigian,Bridger OFAC Watchlist annual fee changed to $1350,
2024-01-02,Kara Soghigian,eFunds IDV annual fee changed to $2030,
2024-01-02,Kara Soghigian,CULA annual fee changed to $3855,
2024-01-02,Kara Soghigian,DealerTrack eContracting (Consumer) annual fee changed to $3535,
2024-01-02,Kara Soghigian,Innovative Funding Services (IFS) annual fee changed to $2030,
2024-01-02,Kara Soghigian,NALN - National Auto Loan Network- Existing Customer annual fee changed to $2030,
2024-01-02,Kara Soghigian,NALN - National Auto Loan Network- New Customer annual fee changed to $2030,
2024-01-02,Kara Soghigian,RouteOne eContracting (Consumer) annual fee changed to $3535,
2024-01-02,Kara Soghigian,Auto Approve annual fee changed to $2030,
2024-01-02,Kara Soghigian,Autopay annual fee changed to $2030,
2024-01-02,Kara Soghigian,Caribou annual fee changed to $2030,
2024-01-02,Kara Soghigian,CreditSnap annual fee changed to $2030,
2024-01-02,Kara Soghigian,CuneXus Tier 1: $5B+ annual fee changed to $17415,
2024-01-02,Kara Soghigian,CuneXus Tier 2: $1B - $5B annual fee changed to $14515,
2024-01-02,Kara Soghigian,CuneXus Tier 3: $500M - $1B annual fee changed to $8710,
2024-01-02,Kara Soghigian,CuneXus Tier 4: $250M - $500M annual fee changed to $5805,
2024-01-02,Kara Soghigian,CuneXus Tier 5: $0 - $250M annual fee changed to $5805,
2024-01-02,Kara Soghigian,FirstClose Equity IQ annual fee changed to $2030,
2024-01-02,Kara Soghigian,fiVISION annual fee changed to $2030,
2024-01-02,Kara Soghigian,FourStars annual fee changed to $2030,
2024-01-02,Kara Soghigian,Gravity Lending annual fee changed to $2030,
2024-01-02,Kara Soghigian,iLendingDirect annual fee changed to $2030,
2024-01-02,Kara Soghigian,LendingTree annual fee changed to $3380,
2024-01-02,Kara Soghigian,MoveCU annual fee changed to $2030,
2024-01-02,Kara Soghigian,Rate Genius annual fee changed to $2030,
2024-01-02,Kara Soghigian,Rate Reset - Direct Core Reset annual fee changed to $2030,
2024-01-02,Kara Soghigian,Rate Reset - PreApproval API  annual fee changed to $2030,
2024-01-02,Kara Soghigian,WithClutch annual fee changed to $5350,
2024-01-02,Kara Soghigian,LoanStar Technologies annual fee changed to $2030,
2024-01-02,Kara Soghigian,Add Additional Lender annual fee changed to $2700,
2024-01-02,Kara Soghigian,Additional Automated Actions annual fee changed to $2030,
2024-01-02,Kara Soghigian,Additional Scheduled Reports annual fee changed to $2030,
2024-01-02,Kara Soghigian,AffordIT annual fee changed to $2030,
2024-01-02,Kara Soghigian,API Web Services (Consumer) annual fee changed to $6415,
2024-01-02,Kara Soghigian,Auto Financial Group (AFG) annual fee changed to $2030,
2024-01-02,Kara Soghigian,CLF Export Automated Action annual fee changed to $1350,
2024-01-02,Kara Soghigian,Data Extraction Tool annual fee changed to $1350,
2024-01-02,Kara Soghigian,Eltropy annual fee changed to $2030,
2024-01-02,Kara Soghigian, United One Resources annual fee changed to $2030,
2024-01-02,Kara Soghigian,Accurate Group-  Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,Corporate Settlement Solutions- Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,Coviance  Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,First American- Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,First Close - Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,LendOne Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,MTS Group Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,New Vista - Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,Select Business Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,SourcePoint - Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,Universal Real Estate Services - Settlement Services annual fee changed to $2030,
2024-01-02,Kara Soghigian,ClickSWITCH (existing CS client) annual fee changed to $4045,
2024-01-02,Kara Soghigian,AutoCheck annual fee changed to $1350,
2024-01-02,Kara Soghigian,AutoCheck with Buyback Protection annual fee changed to $1350,
2024-01-02,Kara Soghigian,Carfax Vehicle History and/or Vehicle Loss Report annual fee changed to $680,
2024-01-02,Kara Soghigian,American Service Group (ASG) annual fee changed to $2030,
2024-01-02,Kara Soghigian,Auto Exam  annual fee changed to $2030,
2024-01-02,Kara Soghigian,Car Solutions Auto Insurance Integration annual fee changed to $2030,
2024-01-02,Kara Soghigian,First Innovations annual fee changed to $2030,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Business Module Tier 1 (1000-1999 apps) transaction fee changed to $14.124,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Business Module Tier 2 (500-999 apps) transaction fee changed to $18.4575,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Business Module Tier 3 (250-499 apps) transaction fee changed to $22.6305,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Business Module Tier 4 (up to 249 apps) transaction fee changed to $28.248,
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Consumer Module Tier 1 (30,000+ apps) transaction fee changed to $1.605",
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Consumer Module Tier 10 (500-999 apps) transaction fee changed to $9.309,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Consumer Module Tier 11 (250-499 apps) transaction fee changed to $10.7535,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Consumer Module Tier 12 (up to 249 apps) transaction fee changed to $12.2515,
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Consumer Module Tier 2 (25,000-29,999 apps) transaction fee changed to $1.8725",
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Consumer Module Tier 3 (20,000-24,999 apps) transaction fee changed to $2.14",
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Consumer Module Tier 4 (15,000-19,999 apps) transaction fee changed to $2.461",
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Consumer Module Tier 5 (10,000-14,999 apps) transaction fee changed to $2.889",
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Consumer Module Tier 6 (8000-9999 apps) transaction fee changed to $3.3705,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Consumer Module Tier 7 (4000-7999 apps) transaction fee changed to $4.1195,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Consumer Module Tier 8 (2000-3999 apps) transaction fee changed to $5.8315,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Consumer Module Tier 9 (1000-1999 apps) transaction fee changed to $7.597,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Home Equity Module Tier 1 (1000-1999 apps) transaction fee changed to $10.165,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Home Equity Module Tier 2 (500-999 apps) transaction fee changed to $13.054,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Home Equity Module Tier 3 (250-499 apps) transaction fee changed to $17.334,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Home Equity Module Tier 4 (up to 249 apps) transaction fee changed to $21.6675,
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Indirect Lending Module Tier 1 (30,000+ apps) transaction fee changed to $1.498",
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Indirect Lending Module Tier 10 (500-999 apps) transaction fee changed to $4.9755,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Indirect Lending Module Tier 11 (250-499 apps) transaction fee changed to $5.671,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Indirect Lending Module Tier 12 (up to 249 apps) transaction fee changed to $7.062,
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Indirect Lending Module Tier 2 (25,000-29,999  apps) transaction fee changed to $1.712",
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Indirect Lending Module Tier 3 (20,000-24,999  apps) transaction fee changed to $1.9795",
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Indirect Lending Module Tier 4 (15,000-19,999 apps) transaction fee changed to $2.247",
2024-01-02,Kara Soghigian,"JHA MeridianLink Consumer - Indirect Lending Module Tier 5 (10,000-14,999 apps) transaction fee changed to $2.568",
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Indirect Lending Module Tier 6 (8000-9999 apps) transaction fee changed to $2.8355,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Indirect Lending Module Tier 7 (4000-7999 apps) transaction fee changed to $3.21,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Indirect Lending Module Tier 8 (2000-3999 apps) transaction fee changed to $3.531,
2024-01-02,Kara Soghigian,JHA MeridianLink Consumer - Indirect Lending Module Tier 9 (1000-1999 apps) transaction fee changed to $4.28,
2024-01-02,Kara Soghigian,"JHA MeridianLink Opening Module Tier 1 (30,000+ apps) transaction fee changed to $1.605",
2024-01-02,Kara Soghigian,JHA MeridianLink Opening Module Tier 10 (500-999 apps) transaction fee changed to $9.309,
2024-01-02,Kara Soghigian,JHA MeridianLink Opening Module Tier 11 (250-499 apps) transaction fee changed to $10.7535,
2024-01-02,Kara Soghigian,JHA MeridianLink Opening Module Tier 12 (up to 249 apps) transaction fee changed to $12.2515,
2024-01-02,Kara Soghigian,"JHA MeridianLink Opening Module Tier 2 (25,000-29,999 apps) transaction fee changed to $1.8725",
2024-01-02,Kara Soghigian,"JHA MeridianLink Opening Module Tier 3 (20,000-24,999 apps) transaction fee changed to $2.14",
2024-01-02,Kara Soghigian,"JHA MeridianLink Opening Module Tier 4 (15,000-19,999 apps) transaction fee changed to $2.461",
2024-01-02,Kara Soghigian,"JHA MeridianLink Opening Module Tier 5 (10,000-14,999 apps) transaction fee changed to $2.889",
2024-01-02,Kara Soghigian,JHA MeridianLink Opening Module Tier 6 (8000-9999 apps) transaction fee changed to $3.3705,
2024-01-02,Kara Soghigian,JHA MeridianLink Opening Module Tier 7 (4000-7999 apps) transaction fee changed to $4.1195,
2024-01-02,Kara Soghigian,JHA MeridianLink Opening Module Tier 8 (2000-3999 apps) transaction fee changed to $5.8315,
2024-01-02,Kara Soghigian,JHA MeridianLink Opening Module Tier 9 (1000-1999 apps) transaction fee changed to $7.597,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Business Module Tier 1 (1000-1999 apps) transaction fee changed to $14.124,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Business Module Tier 2 (500-999 apps) transaction fee changed to $18.4575,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Business Module Tier 3 (250-499 apps) transaction fee changed to $22.6305,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Business Module Tier 4 (up to 249 apps) transaction fee changed to $28.248,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module (ML Entry - year 1) transaction fee changed to $12.947,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module (ML Entry - year 2) transaction fee changed to $11.556,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module (ML Entry - year 3) transaction fee changed to $10.914,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module (ML Entry - year 4) transaction fee changed to $10.914,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module (ML Entry - year 5) transaction fee changed to $10.914,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module (ML Entry - year 6) transaction fee changed to $10.914,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module (ML Entry - year 7) transaction fee changed to $10.914,
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Consumer Module Tier 1 (30,000+ apps) transaction fee changed to $1.605",
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module Tier 10 (500-999 apps) transaction fee changed to $9.309,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module Tier 11 (250-499 apps) transaction fee changed to $10.7535,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module Tier 12 (up to 249 apps) transaction fee changed to $12.2515,
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Consumer Module Tier 2 (25,000-29,999 apps) transaction fee changed to $1.8725",
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Consumer Module Tier 3 (20,000-24,999 apps) transaction fee changed to $2.14",
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Consumer Module Tier 4 (15,000-19,999 apps) transaction fee changed to $2.461",
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Consumer Module Tier 5 (10,000-14,999 apps) transaction fee changed to $2.889",
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module Tier 6 (8000-9999 apps) transaction fee changed to $3.3705,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module Tier 7 (4000-7999 apps) transaction fee changed to $4.1195,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module Tier 8 (2000-3999 apps) transaction fee changed to $5.8315,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Consumer Module Tier 9 (1000-1999 apps) transaction fee changed to $7.597,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Home Equity Module Tier 1 (1000-1999 apps) transaction fee changed to $10.165,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Home Equity Module Tier 2 (500-999 apps) transaction fee changed to $13.054,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Home Equity Module Tier 3 (250-499 apps) transaction fee changed to $17.334,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Home Equity Module Tier 4 (up to 249 apps) transaction fee changed to $21.6675,
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Indirect Lending Module Tier 1 (30,000+ apps) transaction fee changed to $1.498",
2024-01-02,Kara Soghigian,MeridianLink Consumer - Indirect Lending Module Tier 10 (500-999 apps) transaction fee changed to $4.9755,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Indirect Lending Module Tier 11 (250-499 apps) transaction fee changed to $5.671,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Indirect Lending Module Tier 12 (up to 249 apps) transaction fee changed to $7.062,
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Indirect Lending Module Tier 2 (25,000-29,999  apps) transaction fee changed to $1.712",
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Indirect Lending Module Tier 3 (20,000-24,999  apps) transaction fee changed to $1.9795",
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Indirect Lending Module Tier 4 (15,000-19,999 apps) transaction fee changed to $2.247",
2024-01-02,Kara Soghigian,"MeridianLink Consumer - Indirect Lending Module Tier 5 (10,000-14,999 apps) transaction fee changed to $2.568",
2024-01-02,Kara Soghigian,MeridianLink Consumer - Indirect Lending Module Tier 6 (8000-9999 apps) transaction fee changed to $2.8355,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Indirect Lending Module Tier 7 (4000-7999 apps) transaction fee changed to $3.21,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Indirect Lending Module Tier 8 (2000-3999 apps) transaction fee changed to $3.531,
2024-01-02,Kara Soghigian,MeridianLink Consumer - Indirect Lending Module Tier 9 (1000-1999 apps) transaction fee changed to $4.28,
